m & n & p & nfg & f & gradient &  Iter.  & nfg & f & gradient
5 & 4 & 2 & 23 & 9305.9334781011 & 0.00207341 & 10 & 16 & 9305.93 & 3.57E-005
10 & 4 & 2 & 29 & 9305.9334781094 & 0.0034576345 & 10 & 16 & 9305.93 & 6.07E-005
20 & 4 & 2 & 30 & 9305.9334781011 & 0.0011789284 & 10 & 16 & 9305.93 & 6.07E-005
5 & 6 & 2 & 19 & 18531.1434970339 & 0.0045643053 & 10 & 16 & 18531.14 & 4.92E-004
10 & 6 & 2 & 19 & 18531.1434972001 & 0.0098673465 & 10 & 16 & 18531.14 & 1.89E-004
20 & 6 & 2 & 19 & 18531.1434972001 & 0.0098672632 & 10 & 16 & 18531.14 & 1.89E-004
5 & 8 & 2 & 21 & 27756.3535159352 & 0.0046836051 & 13 & 19 & 27756.35 & 4.02E-004
10 & 8 & 2 & 20 & 27756.3535160508 & 0.0094596482 & 14 & 20 & 27756.35 & 2.38E-006
20 & 8 & 2 & 20 & 27756.3535160508 & 0.0094708831 & 14 & 20 & 27756.35 & 2.61E-006
5 & 10 & 2 & 21 & 36981.5635348454 & 0.0033234587 & 15 & 21 & 36981.56 & 3.92E-005
10 & 10 & 2 & 21 & 36981.5635349492 & 0.0081012695 & 15 & 21 & 36981.56 & 8.65E-005
20 & 10 & 2 & 21 & 36981.5635349501 & 0.0082688034 & 15 & 21 & 36981.56 & 1.42E-004
5 & 20 & 2 & 20 & 83107.6136294147 & 0.0027406376 & 16 & 21 & 83107.61 & 1.41E-005
10 & 20 & 2 & 20 & 83107.6136294198 & 0.0041252207 & 16 & 21 & 83107.61 & 3.36E-005
20 & 20 & 2 & 20 & 83107.6136294198 & 0.0041233412 & 16 & 21 & 83107.61 & 7.15E-005
5 & 50 & 2 & 20 & 221485.763913154 & 0.0033002394 & 10 & 17 & 221485.76 & 4.45E-005
10 & 50 & 2 & 20 & 221485.763913133 & 0.0042830873 & 10 & 17 & 221485.76 & 2.13E-005
20 & 50 & 2 & 20 & 221485.763913133 & 0.0043179814 & 10 & 17 & 221485.76 & 2.13E-005
5 & 100 & 2 & 20 & 452116.014385988 & 0.0019111682 & 16 & 21 & 452116.01 & 1.45E-004
10 & 100 & 2 & 20 & 452116.014385974 & 0.002587029 & 16 & 21 & 452116.01 & 3.29E-004
20 & 100 & 2 & 20 & 452116.014385974 & 0.0025871555 & 16 & 21 & 452116.01 & 6.10E-004
5 & 200 & 2 & 20 & 913376.515331689 & 0.0023793373 & 17 & 22 & 913376.52 & 1.64E-004
10 & 200 & 2 & 20 & 913376.515331677 & 0.0031088411 & 17 & 22 & 913376.52 & 3.51E-004
20 & 200 & 2 & 20 & 913376.515331677 & 0.003108401 & 17 & 22 & 913376.52 & 6.81E-004
5 & 1000 & 2 & 20 & 4603460.52289724 & 0.0035296465 & 18 & 24 & 4603460.52 & 4.04E-005
10 & 1000 & 2 & 20 & 4603460.52289732 & 0.0045067318 & 17 & 22 & 4603460.52 & 3.24E-004
20 & 1000 & 2 & 20 & 4603460.52289731 & 0.0045070181 & 18 & 30 & 4603460.52 & 1.18E-005
