 &  &  & L-BFGS-B results &  &  &  & L-BFGS-B-NS &  &  & 
n & m & p & iterations & nfg & f & NPG & iterations & nfg & f & NSVCHPG
6 & 5 & 1 & 2 & 57 & 371.7959088513 & 167.6774065499 & 700 & 731783 & 274.6784915697 & 
6 & 10 & 1 & 2 & 57 & 371.7959088513 & 167.6774065499 & 24 & 113 & 274.6841504088 & 6.54E-08
6 & 20 & 1 & 2 & 57 & 371.7959088513 & 167.6774065499 & 24 & 113 & 274.684150471 & 6.54E-08
8 & 5 & 1 & 2 & 59 & 468.3752696858 & 193.6721893141 & 14 & 120 & 371.5134224463 & 1.10E-08
8 & 10 & 1 & 2 & 59 & 468.3752696858 & 193.6721893141 & 21 & 106 & 371.5155952286 & 2.42E-09
8 & 20 & 1 & 2 & 59 & 468.3752696858 & 193.6721893141 & 21 & 106 & 371.5155952286 & 2.42E-09
10 & 5 & 1 & 2 & 59 & 565.2807708615 & 216.5255866797 & 700 & 19006 & 521.9962505588 & 
10 & 10 & 1 & 2 & 59 & 565.2807708615 & 216.5255866797 & 700 & 19005 & 521.6424806845 & 
10 & 20 & 1 & 2 & 59 & 565.2807708615 & 216.5255866797 & 700 & 19005 & 521.6424806845 & 
20 & 5 & 1 & 3 & 69 & 1049.3737719562 & 306.2265221592 & 28 & 187 & 952.5395396053 & 6.22E-09
20 & 10 & 1 & 3 & 69 & 1049.3737719562 & 306.2265221592 & 21 & 188 & 952.5397790571 & 1.98E-08
20 & 20 & 1 & 3 & 69 & 1049.3737719562 & 306.2265221592 & 43 & 352 & 952.5395010585 & 3.06E-08
50 & 5 & 1 & 2 & 55 & 2502.1002340941 & 484.1824148553 & 40 & 240 & 2405.1054092136 & 1.75E-08
50 & 10 & 1 & 2 & 55 & 2502.1002340941 & 484.1824148553 & 73 & 621 & 2405.1053362021 & 4.37E-08
50 & 20 & 1 & 2 & 55 & 2502.1002340941 & 484.1824148553 & 47 & 237 & 2405.1053367648 & 1.81E-08
100 & 5 & 1 & 2 & 55 & 4923.8293059844 & 684.7204580326 & 16 & 141 & 4826.0484152264 & 5.56E-08
100 & 10 & 1 & 2 & 55 & 4923.8293059844 & 684.7204580326 & 16 & 138 & 4826.0484159341 & 5.56E-08
100 & 20 & 1 & 2 & 55 & 4923.8293059844 & 684.7204580326 & 16 & 138 & 4826.0484159341 & 5.56E-08
200 & 5 & 1 & 2 & 55 & 9767.3097657638 & 968.3290370495 & 16 & 139 & 9667.9345253113 & 7.72E-08
200 & 10 & 1 & 2 & 55 & 9767.3097657638 & 968.3290370495 & 16 & 140 & 9667.9345262903 & 7.72E-08
200 & 20 & 1 & 2 & 55 & 9767.3097657638 & 968.3290370495 & 15 & 112 & 9667.9345180734 & 5.18E-08
1000 & 5 & 1 & 2 & 55 & 48515.2067028619 & 2165.2282440642 & 23 & 193 & 48403.1390323475 & 5.72E-09
1000 & 10 & 1 & 2 & 55 & 48515.2067028619 & 2165.2282440642 & 17 & 177 & 48403.0234480314 & 1.70E-07
1000 & 20 & 1 & 2 & 55 & 48515.2067028619 & 2165.2282440642 & 17 & 177 & 48403.0234480263 & 1.70E-07
