 &  &  & L-BFGS-B results &  &  &  & L-BFGS-B-NS &  &  & \\
n & m & p & iterations & nfg & f & NPG & iterations & nfg & f & NSVCHPG
6 & 5 & 2 & 12 & 18 & 18531.143497015 & 6.45E-08 & 18 & 33 & 18531.143497015 & 1.23E-08
6 & 10 & 2 & 12 & 18 & 18531.143497015 & 7.09E-09 & 21 & 32 & 18531.1434970151 & 8.95E-07
6 & 20 & 2 & 12 & 18 & 18531.143497015 & 6.97E-09 & 19 & 33 & 18531.143497015 & 8.08E-08
8 & 5 & 2 & 16 & 22 & 27756.3535159291 & 2.23E-08 & 24 & 32 & 27756.3535159291 & 3.25E-07
8 & 10 & 2 & 15 & 21 & 27756.3535159291 & 2.16E-08 & 700 & 733877 & 27756.3535159291 & 3.94E-06
8 & 20 & 2 & 19 & 110 & 27756.3535159291 & 1.42E-04 & 20 & 33 & 27756.3535159291 & 4.81E-07
10 & 5 & 2 & 17 & 23 & 36981.5635348431 & 2.85E-07 & 22 & 33 & 36981.5635348431 & 2.75E-07
10 & 10 & 2 & 17 & 23 & 36981.5635348431 & 1.43E-08 & 21 & 34 & 36981.5635348431 & 7.24E-07
10 & 20 & 2 & 17 & 23 & 36981.5635348431 & 4.00E-08 & 23 & 34 & 36981.5635348431 & 9.47E-07
20 & 5 & 2 & 17 & 22 & 83107.6136294132 & 1.60E-07 & 700 & 737084 & 83107.6136294131 & 1.85E-05
20 & 10 & 2 & 21 & 103 & 83107.6136294131 & 4.11E-05 & 16 & 32 & 83107.6136294132 & 4.13E-07
20 & 20 & 2 & 19 & 81 & 83107.6136294131 & 3.83E-06 & 19 & 34 & 83107.6136294132 & 4.04E-09
50 & 5 & 2 & 12 & 21 & 221485.763913123 & 3.66E-07 & 24 & 31 & 221485.763913123 & 8.98E-07
50 & 10 & 2 & 12 & 63 & 221485.763913123 & 2.77E-05 & 21 & 31 & 221485.763913123 & 1.57E-07
50 & 20 & 2 & 12 & 63 & 221485.763913123 & 2.77E-05 & 19 & 32 & 221485.763913123 & 5.13E-07
100 & 5 & 2 & 18 & 23 & 452116.014385974 & 8.79E-08 & 26 & 43 & 452116.014385973 & 7.84E-10
100 & 10 & 2 & 20 & 98 & 452116.014385974 & 5.31E-06 & 16 & 32 & 452116.014385974 & 4.12E-08
100 & 20 & 2 & 18 & 23 & 452116.014385974 & 4.47E-07 & 22 & 31 & 452116.014385973 & 3.05E-08
200 & 5 & 2 & 19 & 63 & 913376.515331672 & 3.89E-05 & 25 & 45 & 913376.515331676 & 6.38E-09
200 & 10 & 2 & 20 & 39 & 913376.515331672 & 3.66E-08 & 19 & 31 & 913376.515331676 & 7.96E-07
200 & 20 & 2 & 23 & 90 & 913376.515331672 & 9.85E-07 & 19 & 32 & 913376.515331677 & 6.34E-08
1000 & 5 & 2 & 21 & 88 & 4603460.52289722 & 4.44E-05 & 700 & 738160 & 4603460.52289722 & 3.65E-04
1000 & 10 & 2 & 19 & 76 & 4603460.52289722 & 3.63E-04 & 17 & 32 & 4603460.52289724 & 4.09E-08
1000 & 20 & 2 & 19 & 70 & 4603460.52289721 & 1.24E-05 & 700 & 736022 & 4603460.52289722 & 3.02E-04
