	L-BFGS-B	results	L-BFGS-B-NS								
tolerance	n	m	p	iter	#fg	f	npg	iters	#fg	f	npg
0.000001	2	5	2	1	2	81	0.00E+00	2	16	81	0.00E+00
0.000001	2	10	2	1	2	81	0.00E+00	2	16	81	0.00E+00
0.000001	2	20	2	1	2	81	0.00E+00	2	16	81	0.00E+00
0.000001	4	5	2	19	27	9305.933478101	2.14E-07	23	42	9305.933478101	7.40E-06
0.000001	4	10	2	26	100	9305.933478101	2.34E-05	22	35	9305.933478101	1.01E-07
0.000001	4	20	2	23	30	9305.933478101	2.17E-09	28	48	9305.933478101	1.52E-07
0.000001	6	5	2	26	32	18531.143497015	1.93E-07	31	42	18531.143497015	1.73E-07
0.000001	6	10	2	26	47	18531.143497015	7.83E-10	27	43	18531.143497015	2.29E-08
0.000001	6	20	2	23	32	18531.143497015	1.63E-07	28	42	18531.1434970151	5.28E-07
0.000001	8	5	2	31	37	27756.3535159291	6.88E-07	26	42	27756.3535159291	2.17E-08
0.000001	8	10	2	26	34	27756.3535159291	5.63E-08	33	43	27756.3535159291	4.54E-07
0.000001	8	20	2	10000	189502	27756.3535159291	2.05E-05	29	44	27756.3535159291	6.86E-07
0.000001	10	5	2	30	40	36981.5635348431	2.64E-07	32	46	36981.5635348431	3.70E-07
0.000001	10	10	2	29	41	36981.5635348431	6.74E-09	32	46	36981.5635348431	5.09E-09
0.000001	10	20	2	27	35	36981.5635348431	6.36E-07	27	44	36981.5635348431	1.48E-07
0.000001	20	5	2	31	35	83107.6136294132	1.48E-07	33	42	83107.6136294132	5.27E-07
0.000001	20	10	2	28	39	83107.6136294132	1.99E-08	30	40	83107.6136294132	5.31E-07
0.000001	20	20	2	27	36	83107.6136294132	6.06E-07	29	46	83107.6136294131	3.86E-06
0.000001	50	5	2	29	84	221485.763913123	7.95E-05	32	55	221485.763913123	9.92E-07
0.000001	50	10	2	25	28	221485.763913123	5.56E-07	35	122	221485.763913123	5.46E-06
0.000001	50	20	2	27	88	221485.763913123	8.83E-05	31	45	221485.763913123	9.86E-07
0.000001	100	5	2	29	131	452116.014385974	2.92E-06	34	67	452116.014385974	1.46E-08
0.000001	100	10	2	25	67	452116.014385974	7.37E-05	32	45	452116.014385974	2.29E-07
0.000001	100	20	2	25	28	452116.014385974	8.97E-07	29	47	452116.014385974	1.20E-04
0.000001	200	5	2	32	74	913376.515331672	1.97E-07	34	62	913376.515331677	8.44E-07
0.000001	200	10	2	27	32	913376.515331672	5.26E-07	32	43	913376.515331672	1.04E-07
0.000001	200	20	2	26	29	913376.515331672	5.80E-07	33	58	913376.515331677	3.98E-08
0.000001	1000	5	2	26	68	4603460.52289722	2.61E-04	37	80	4603460.52289732	9.85E-07
0.000001	1000	10	2	26	71	4603460.52289722	5.93E-04	33	45	4603460.52289733	5.89E-07
0.000001	1000	20	2	30	95	4603460.52289722	1.18E-05	33	59	4603460.52289732	9.02E-07
tolerance	n	m	p	iter	#fg	f	npg	iters	#fg	f	npg
0.000001	2	5	1	1	21	5725.5	1.10E+02	98	393	81	0
0.000001	2	10	1	1	21	5725.5	1.10E+02	98	393	81	0
0.000001	2	20	1	1	21	5725.5	1.10E+02	98	393	81	0
