t1	t2	t3	t4	t5	m	n	p	iterations	evaluations	value		time								
final	results	rosenbrock	(new)	run:	5	1000	2	26	31	4603460.523	4.76E-03	2.63E-03	1.67E-02	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	500	
final	results	rosenbrock	(Nocedal)	run:	5	1000	2	26	68	4603460.523	9.41E-05	1.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	2	27	32	4603460.523	2.89E-03	3.94E-04	2.00E-02	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	500	
final	results	rosenbrock	(Nocedal)	run:	10	1000	2	26	71	4603460.523	4.18E-04	1.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	2	27	32	4603460.523	2.94E-03	7.06E-04	2.00E-02	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	500	
final	results	rosenbrock	(Nocedal)	run:	20	1000	2	27	38	4603460.523	1.79E-05	1.33E-02	CONVERGENCE:	REL_REDUCTION_OF_F_<=_FACTR*EPSMCH						
final	results	rosenbrock	(new)	run:	5	1000	1.1	621	1106	81889.41824	5.89E-03	6.88E-03	0.593331993	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	499	
final	results	rosenbrock	(Nocedal)	run:	5	1000	1.1	1	21	3281153.97	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1.1	430	710	81900.44419	9.06E-03	5.98E-03	0.516665995	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	499	
final	results	rosenbrock	(Nocedal)	run:	10	1000	1.1	1	21	3281153.97	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	1.1	394	710	81878.39228	9.56E-03	2.92E-03	0.716665983	CONVERGENCE:	ZERO_GRAD_IN_CONV_	"HULL,"	nfree	=	499	
final	results	rosenbrock	(Nocedal)	run:	20	1000	1.1	1	21	3281153.97	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	1000	1.01	1000	40096	54113.8618	-1	6.195043647	18.50666428	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1.01	1	21	1609998.887	101	1.00E-02	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1.01	1000	208333	54112.99502	-1	6.179643722	94.45665741	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	1000	1.01	1	21	1609998.887	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	1.01	1000	472380	54112.97844	-1	5.637839441	215.0499725	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	1000	1.01	1	21	1609998.887	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	1000	1.001	1000	2866	51906.12188	-1	7.323371047	1.806664944	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1.001	1	21	1499581.247	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1.001	1000	43111	51905.17403	-1	7.143778047	21.05999565	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
