p	n	m	iters.	#fg	f	NPG	iters.	#fg	f	NVSHKLH
0.99	100	5	1	21	140004.324489439	7.79E+02	10000	29999	4706.5690751224	9.46E-01
0.99	100	10	1	21	140004.324489439	7.79E+02	10000	29983	4706.5690446185	9.46E-01
0.99	100	20	1	21	140004.324489439	7.79E+02	10000	29989	4706.5690446185	9.46E-01
0.99	200	5	1	21	277216.896653442	1.10E+03	10000	29985	9332.020553172	9.46E-01
0.99	200	10	1	21	277216.896653442	1.10E+03	10000	20009	9332.0205286749	6.56E+01
0.99	200	20	1	21	277216.896653442	1.10E+03	10000	20007	9332.0182250141	8.21E+01
0.99	1000	5	1	21	1374917.47396547	2.46E+03	10000	29993	46335.6319951054	9.46E-01
0.99	1000	10	1	21	1374917.47396547	2.46E+03	10000	29993	46335.6319927555	9.46E-01
0.99	1000	20	1	21	1374917.47396547	2.46E+03	10000	20009	46335.6319815415	1.92E+02
0.99	5000	5	1	21	6863420.36052535	5.51E+03	10000	29995	231353.689126569	9.46E-01
0.99	5000	10	1	21	6863420.36052535	5.51E+03	10000	29995	231353.689125989	9.46E-01
0.99	5000	20	1	21	6863420.36052535	5.51E+03	10000	29995	231353.689125497	9.46E-01
0.99	10000	5	1	21	13724048.9687287	7.79E+03	10000	20013	462626.260534309	4.91E+02
0.99	10000	10	1	21	13724048.9687287	7.79E+03	10000	20013	462626.260533983	4.91E+02
0.99	10000	20	1	21	13724048.9687287	7.79E+03	10000	20013	462626.260533741	4.91E+02
