p & n & m & iters. & #fg & f & NPG & iters. & #fg & f & NVSHKLH
0.999 & 100 & 5 & 1 & 21 & 150123.179035242 & 7.79E+02 & 10000 & 30431 & 4900.9128213197 & 3.87E+01
0.999 & 100 & 10 & 1 & 21 & 150123.179035242 & 7.79E+02 & 10000 & 19999 & 4900.8936483149 & 3.78E+01
0.999 & 100 & 20 & 1 & 21 & 150123.179035242 & 7.79E+02 & 10000 & 20000 & 4899.8082590043 & 3.76E+01
0.999 & 200 & 5 & 1 & 21 & 297453.671572579 & 1.10E+03 & 10000 & 30429 & 9720.7074076621 & 5.50E+01
0.999 & 200 & 10 & 1 & 21 & 297453.671572579 & 1.10E+03 & 10000 & 19999 & 9720.7066330658 & 5.39E+01
0.999 & 200 & 20 & 1 & 21 & 297453.671572579 & 1.10E+03 & 10000 & 20000 & 9720.6846306824 & 5.37E+01
0.999 & 1000 & 5 & 1 & 21 & 1476097.61187127 & 2.46E+03 & 10000 & 30413 & 48279.0637949643 & 1.68E+02
0.999 & 1000 & 10 & 1 & 21 & 1476097.61187127 & 2.46E+03 & 10000 & 19999 & 48279.0637865814 & 1.22E+02
0.999 & 1000 & 20 & 1 & 21 & 1476097.61187127 & 2.46E+03 & 10000 & 20000 & 48275.3237154601 & 1.21E+02
0.999 & 5000 & 5 & 1 & 21 & 7369317.31336543 & 5.51E+03 & 10000 & 30437 & 241070.845631953 & 2.77E+02
0.999 & 5000 & 10 & 1 & 21 & 7369317.31336543 & 5.51E+03 & 10000 & 30431 & 241070.845630621 & 2.76E+02
0.999 & 5000 & 20 & 1 & 21 & 7369317.31336543 & 5.51E+03 & 10000 & 20005 & 241070.845176338 & 2.72E+02
0.999 & 10000 & 5 & 1 & 21 & 14735841.9402302 & 7.79E+03 & 10000 & 30435 & 482060.572922137 & 5.31E+02
0.999 & 10000 & 10 & 1 & 21 & 14735841.9402302 & 7.79E+03 & 10000 & 30419 & 482060.572921515 & 5.31E+02
0.999 & 10000 & 20 & 1 & 21 & 14735841.9402302 & 7.79E+03 & 10000 & 20003 & 482060.570789708 & 5.25E+02
